accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.542,fashion_mnist,8,10,50,10,784,60000,0.047,504
0.593,fashion_mnist,8,11,2,10,784,60000,0.047,331
0.801,fashion_mnist,8,11,5,10,784,60000,0.047,157
0.619,fashion_mnist,8,11,10,10,784,60000,0.047,222
0.518,fashion_mnist,8,11,20,10,784,60000,0.047,311
0.243,fashion_mnist,8,11,50,10,784,60000,0.047,523
0.608,fashion_mnist,8,12,2,10,784,60000,0.047,299
0.803,fashion_mnist,8,12,5,10,784,60000,0.047,174
0.802,fashion_mnist,8,12,10,10,784,60000,0.047,225
0.369,fashion_mnist,8,12,20,10,784,60000,0.047,317
0.186,fashion_mnist,8,12,50,10,784,60000,0.047,541
0.594,fashion_mnist,8,13,2,10,784,60000,0.047,315
0.772,fashion_mnist,8,13,5,10,784,60000,0.047,175
0.798,fashion_mnist,8,13,10,10,784,60000,0.047,228
0.297,fashion_mnist,8,13,20,10,784,60000,0.047,328
0.199,fashion_mnist,8,13,50,10,784,60000,0.047,561
0.605,fashion_mnist,8,14,2,10,784,60000,0.047,284
0.803,fashion_mnist,8,14,5,10,784,60000,0.047,167
0.537,fashion_mnist,8,14,10,10,784,60000,0.047,238
0.309,fashion_mnist,8,14,20,10,784,60000,0.047,340
0.174,fashion_mnist,8,14,50,10,784,60000,0.047,586
0.605,fashion_mnist,8,15,2,10,784,60000,0.047,294
0.799,fashion_mnist,8,15,5,10,784,60000,0.047,182
0.52,fashion_mnist,8,15,10,10,784,60000,0.047,242
0.101,fashion_mnist,8,15,20,10,784,60000,0.047,345
0.1,fashion_mnist,8,15,50,10,784,60000,0.047,611
0.627,fashion_mnist,8,16,2,10,784,60000,0.047,294
0.801,fashion_mnist,8,16,5,10,784,60000,0.047,181
0.1,fashion_mnist,8,16,10,10,784,60000,0.047,238
0.324,fashion_mnist,8,16,20,10,784,60000,0.047,344
0.184,fashion_mnist,8,16,50,10,784,60000,0.047,618
0.215,intel_img_class,9,1,2,6,67500,11885,-0.016,637
0.286,intel_img_class,9,1,5,6,67500,11885,-0.016,621
0.307,intel_img_class,9,1,10,6,67500,11885,-0.016,1158
0.293,intel_img_class,9,1,20,6,67500,11885,-0.016,2245
0.307,intel_img_class,9,1,50,6,67500,11885,-0.016,6166
0.305,intel_img_class,9,2,2,6,67500,11885,-0.016,337
0.371,intel_img_class,9,2,5,6,67500,11885,-0.016,613
0.321,intel_img_class,9,2,10,6,67500,11885,-0.016,1099
0.306,intel_img_class,9,2,20,6,67500,11885,-0.016,2259
0.298,intel_img_class,9,2,50,6,67500,11885,-0.016,6199
0.304,intel_img_class,9,3,2,6,67500,11885,-0.016,308
0.393,intel_img_class,9,3,5,6,67500,11885,-0.016,593
0.389,intel_img_class,9,3,10,6,67500,11885,-0.016,1172
0.384,intel_img_class,9,3,20,6,67500,11885,-0.016,2304
0.39,intel_img_class,9,3,50,6,67500,11885,-0.016,6176
0.298,intel_img_class,9,4,2,6,67500,11885,-0.016,362
0.411,intel_img_class,9,4,5,6,67500,11885,-0.016,637
0.413,intel_img_class,9,4,10,6,67500,11885,-0.016,1146
0.405,intel_img_class,9,4,20,6,67500,11885,-0.016,2269
0.409,intel_img_class,9,4,50,6,67500,11885,-0.016,6184
0.317,intel_img_class,9,5,2,6,67500,11885,-0.016,357
0.406,intel_img_class,9,5,5,6,67500,11885,-0.016,632
0.42,intel_img_class,9,5,10,6,67500,11885,-0.016,1127
0.412,intel_img_class,9,5,20,6,67500,11885,-0.016,2302
0.419,intel_img_class,9,5,50,6,67500,11885,-0.016,6210
0.331,intel_img_class,9,6,2,6,67500,11885,-0.016,320
0.391,intel_img_class,9,6,5,6,67500,11885,-0.016,607
0.411,intel_img_class,9,6,10,6,67500,11885,-0.016,1108
0.417,intel_img_class,9,6,20,6,67500,11885,-0.016,5227
0.418,intel_img_class,9,6,50,6,67500,11885,-0.016,6280
0.312,intel_img_class,9,7,2,6,67500,11885,-0.016,309
0.41,intel_img_class,9,7,5,6,67500,11885,-0.016,602
0.418,intel_img_class,9,7,10,6,67500,11885,-0.016,1117
0.41,intel_img_class,9,7,20,6,67500,11885,-0.016,2289
0.368,intel_img_class,9,7,50,6,67500,11885,-0.016,6258
0.339,intel_img_class,9,8,2,6,67500,11885,-0.016,311
0.412,intel_img_class,9,8,5,6,67500,11885,-0.016,584
0.399,intel_img_class,9,8,10,6,67500,11885,-0.016,1141
0.352,intel_img_class,9,8,20,6,67500,11885,-0.016,2303
0.318,intel_img_class,9,8,50,6,67500,11885,-0.016,6264
0.325,intel_img_class,9,9,2,6,67500,11885,-0.016,308
0.405,intel_img_class,9,9,5,6,67500,11885,-0.016,603
0.346,intel_img_class,9,9,10,6,67500,11885,-0.016,1102
0.348,intel_img_class,9,9,20,6,67500,11885,-0.016,2283
0.245,intel_img_class,9,9,50,6,67500,11885,-0.016,6269
0.349,intel_img_class,9,10,2,6,67500,11885,-0.016,301
0.408,intel_img_class,9,10,5,6,67500,11885,-0.016,579
0.303,intel_img_class,9,10,10,6,67500,11885,-0.016,1145
0.333,intel_img_class,9,10,20,6,67500,11885,-0.016,2355
0.211,intel_img_class,9,10,50,6,67500,11885,-0.016,6289
0.327,intel_img_class,9,11,2,6,67500,11885,-0.016,297
0.402,intel_img_class,9,11,5,6,67500,11885,-0.016,584
0.173,intel_img_class,9,11,10,6,67500,11885,-0.016,1156
0.295,intel_img_class,9,11,20,6,67500,11885,-0.016,2359
0.207,intel_img_class,9,11,50,6,67500,11885,-0.016,6284
0.327,intel_img_class,9,12,2,6,67500,11885,-0.016,326
0.412,intel_img_class,9,12,5,6,67500,11885,-0.016,607
0.175,intel_img_class,9,12,10,6,67500,11885,-0.016,1167
0.227,intel_img_class,9,12,20,6,67500,11885,-0.016,2344
